Observers_PepperObserver_Encoder_encoderFiniteDifferences_0;Observers_PepperObserver_Encoder_encoderFiniteDifferences_1;Observers_PepperObserver_Encoder_encoderFiniteDifferences_2;Observers_PepperObserver_Encoder_encoderFiniteDifferences_3;Observers_PepperObserver_Encoder_encoderFiniteDifferences_4;Observers_PepperObserver_Encoder_encoderFiniteDifferences_5;Observers_PepperObserver_Encoder_encoderFiniteDifferences_6;Observers_PepperObserver_Encoder_encoderFiniteDifferences_7;Observers_PepperObserver_Encoder_encoderFiniteDifferences_8;Observers_PepperObserver_Encoder_encoderFiniteDifferences_9;Observers_PepperObserver_Encoder_encoderFiniteDifferences_10;Observers_PepperObserver_Encoder_encoderFiniteDifferences_11;_angularAcceleration_x;_angularAcceleration_y;_angularAcceleration_z;_angularVelocity_x;_angularVelocity_y;_angularVelocity_z;_linearAcceleration_x;_linearAcceleration_y;_linearAcceleration_z;_linearVelocity_x;_linearVelocity_y;_linearVelocity_z;_orientation_w;_orientation_x;_orientation_y;_orientation_z;_position_x;_position_y;_position_z;ff_qw;ff_qx;ff_qy;ff_qz;ff_tx;ff_ty;ff_tz;perf_ControllerRun;perf_FrameworkCost;perf_GlobalRun;perf_Gui;perf_Log;perf_ObserversRun;perf_SolverBuildAndSolve;perf_SolverSolve;qDDotOut_0;qDDotOut_1;qDDotOut_2;qDDotOut_3;qDDotOut_4;qDDotOut_5;qDDotOut_6;qDDotOut_7;qDDotOut_8;qDDotOut_9;qDDotOut_10;qDDotOut_11;qDotOut_0;qDotOut_1;qDotOut_2;qDotOut_3;qDotOut_4;qDotOut_5;qDotOut_6;qDotOut_7;qDotOut_8;qDotOut_9;qDotOut_10;qDotOut_11;qIn_0;qIn_1;qIn_2;qIn_3;qIn_4;qIn_5;qIn_6;qIn_7;qIn_8;qIn_9;qIn_10;qIn_11;qOut_0;qOut_1;qOut_2;qOut_3;qOut_4;qOut_5;qOut_6;qOut_7;qOut_8;qOut_9;qOut_10;qOut_11;t;tauIn_0;tauIn_1;tauIn_2;tauIn_3;tauIn_4;tauIn_5;tauIn_6;tauIn_7;tauIn_8;tauIn_9;tauIn_10;tauIn_11;tauOut_0;tauOut_1;tauOut_2;tauOut_3;tauOut_4;tauOut_5;tauOut_6;tauOut_7;tauOut_8;tauOut_9;tauOut_10;tauOut_11;timeWall
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0.003702;0.008102;0;0.024724;0;0;0;0;0;0;0;0;-12.2602;-1.39725;-18.568;6.87138;0;0;0;0;0;0;0;0;-0.122602;-0.0139725;-0.18568;0.0687138;0;0;1.5754;0.145728;-1.5754;-0.00766993;0.0214341;0.497364;1.57386;-0.145728;1.57386;0.0107379;-0.0261199;0.499121;1.5754;0.144194;-1.5754;-0.00766993;0.0214341;0.497364;1.57325;-0.145798;1.57294;0.00954748;-0.0261199;0.499121;0;0.256;0.352;0.096;0;0;0;0.256;0.32;0.128;0;0;0;-0.0921146;-0.00115419;0;-6.11288e-07;-3.0344e-07;0;0.42739;0.00200195;-1.87459e-08;-5.81788e-07;-3.03303e-07;4.33952e-09;1676680179766201949
0;0.153399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2001.54;0.0199762;2001.94;0.006146;0.192064;0.03506;0.604618;0.058667;0;0;0;0;0;0;-11.4786;-1.30818;-17.3844;6.43336;0;0;0;0;0;0;0;0;-0.237388;-0.0270543;-0.359524;0.133047;0;0;1.5754;0.145728;-1.5754;-0.00766993;0.0214341;0.497364;1.57386;-0.145728;1.57386;0.00920391;-0.0261199;0.499121;1.5754;0.144194;-1.5754;-0.00766993;0.0214341;0.497364;1.57145;-0.146003;1.57021;0.0105563;-0.0261199;0.499121;0.01;0.224;0.352;0.096;0.032;0;0;0.256;0.32;0.128;0;0;0;-0.0921146;-0.00115419;0;-6.11288e-07;-3.0344e-07;0;0.407472;0.0019617;-1.7549e-08;-5.83257e-07;-3.02781e-07;4.11323e-09;1676680179771931743
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.437417;33.5279;0.658046;0.026679;0.116147;0.013829;0.184242;0.023327;0;0;0;0;0;0;-10.7347;-1.22339;-16.2577;6.01639;0;0;0;0;0;0;0;0;-0.344734;-0.0392882;-0.522101;0.193211;0;0;1.5754;0.145728;-1.5754;-0.00766993;0.0214341;0.497364;1.57386;-0.145728;1.57386;0.00920391;-0.0261199;0.499121;1.5754;0.144194;-1.5754;-0.00766993;0.0214341;0.497364;1.56854;-0.146335;1.5658;0.0121876;-0.0261199;0.499121;0.02;0.224;0.352;0.096;0.032;0;0;0.256;0.32;0.128;0;0;0;-0.0921146;-0.00115419;0;-6.11288e-07;-3.0344e-07;0;0.389392;0.00193168;-1.64092e-08;-5.84089e-07;-3.01792e-07;3.92457e-09;1676680179774425712
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.159378;37.7865;0.256179;0.002863;0.03527;0.013479;0.073613;0.008242;0;0;0;0;0;0;-10.0266;-1.1427;-15.1853;5.61957;0;0;0;0;0;0;0;0;-0.445001;-0.0507152;-0.673954;0.249407;0;0;1.5754;0.145728;-1.5754;-0.00766993;0.0214341;0.497364;1.57386;-0.145728;1.57386;0.00920391;-0.0261199;0.499121;1.5754;0.144194;-1.5754;-0.00766993;0.0214341;0.497364;1.56459;-0.146785;1.55982;0.0144007;-0.0261199;0.499121;0.03;0.224;0.352;0.096;0.032;0;0;0.256;0.32;0.128;0;0;0;-0.0921146;-0.00115419;0;-6.11288e-07;-3.0344e-07;0;0.373051;0.00191122;-1.53248e-08;-5.84377e-07;-3.00429e-07;3.76711e-09;1676680179777089116
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.154978;32.8797;0.230896;0.002445;0.037645;0.018578;0.073543;0.006285;0;0;0;0;0;0;-9.353;-1.06593;-14.1651;5.24202;0;0;0;0;0;0;0;0;-0.538531;-0.0613745;-0.815606;0.301827;0;0;1.5754;0.145728;-1.5754;-0.00766993;0.0214341;0.497364;1.57386;-0.145728;1.57386;0.00920391;-0.0261199;0.499121;1.5754;0.144194;-1.5754;-0.00766993;0.0214341;0.497364;1.55967;-0.147345;1.55237;0.0171568;-0.0261199;0.499121;0.04;0.224;0.352;0.096;0.032;0;0;0.256;0.32;0.128;0;0;0;-0.0921146;-0.00115419;0;-6.11288e-07;-3.0344e-07;0;0.358347;0.00189961;-1.42942e-08;-5.84187e-07;-2.98766e-07;3.63528e-09;1676680179779978946
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.222306;34.5329;0.339569;0.002445;0.066279;0.010965;0.091702;0.011873;0;0;0;0;0;0;-8.71229;-0.992909;-13.1948;4.88293;0;0;0;0;0;0;0;0;-0.625654;-0.0713035;-0.947553;0.350657;0;0;1.5754;0.145728;-1.5754;-0.00766993;0.0214341;0.497364;1.57386;-0.145728;1.57386;0.00920391;-0.0261199;0.499121;1.5754;0.144194;-1.5754;-0.00766993;0.0214341;0.497364;1.55385;-0.148009;1.54356;0.0204193;-0.0261199;0.499121;0.05;0.256;0.352;0.096;0;0;0;0.256;0.32;0.128;0;0;0;-0.0921146;-0.00115419;0;-6.11288e-07;-3.0344e-07;0;0.34518;0.00189618;-1.3316e-08;-5.83565e-07;-2.96867e-07;3.52418e-09;1676680179782815558
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.131652;35.4891;0.204077;0.003352;0.040019;0.016902;0.060832;0.006775;0;0;0;0;0;0;-8.10307;-0.923478;-12.2721;4.54148;0;0;0;0;0;0;0;0;-0.706684;-0.0805383;-1.07027;0.396071;0;0;1.5754;0.145728;-1.5754;-0.00766993;0.0214341;0.497364;1.57386;-0.145728;1.57386;0.00920391;-0.0261199;0.499121;1.5754;0.144194;-1.5754;-0.00766993;0.0214341;0.497364;1.54719;-0.148768;1.53347;0.0241529;-0.0261199;0.499121;0.06;0.256;0.352;0.096;0;0;0;0.256;0.32;0.128;0;0;0;-0.0921146;-0.00115419;0;-6.11288e-07;-3.0344e-07;0;0.333451;0.00190025;-1.23886e-08;-5.82542e-07;-2.94782e-07;3.42957e-09;1676680179785337812
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.202121;36.1573;0.316592;0.023537;0.064603;0.011873;0.081226;0.011593;0;0;0;0;0;0;-7.52397;-0.85748;-11.3951;4.21692;0;0;0;0;0;0;0;0;-0.781924;-0.0891131;-1.18423;0.438241;0;0;1.5754;0.145728;-1.5754;-0.00766993;0.0214341;0.497364;1.57386;-0.145728;1.57386;0.00920391;-0.0261199;0.499121;1.5754;0.144194;-1.5754;-0.00766993;0.0214341;0.497364;1.53975;-0.149616;1.5222;0.0283245;-0.0261199;0.499121;0.07;0.256;0.352;0.096;0;0;0;0.256;0.32;0.128;0;0;0;-0.0921146;-0.00115419;0;-6.11288e-07;-3.0344e-07;0;0.323067;0.00191121;-1.15104e-08;-5.81133e-07;-2.92552e-07;3.34772e-09;1676680179788093198
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.141569;38.557;0.230407;0.003701;0.034362;0.020533;0.064813;0.007542;0;0;0;0;0;0;-6.97368;-0.794766;-10.5616;3.9085;0;0;0;0;0;0;0;0;-0.851661;-0.0970608;-1.28984;0.477325;0;0;1.5754;0.145728;-1.5754;-0.00766993;0.0214341;0.497364;1.57386;-0.145728;1.57386;0.00920391;-0.0261199;0.499121;1.5754;0.144194;-1.5754;-0.00766993;0.0214341;0.497364;1.53158;-0.150547;1.50983;0.0329023;-0.0261199;0.499121;0.08;0.256;0.352;0.096;0;0;0;0.256;0.32;0.128;0;0;0;-0.0921146;-0.00115419;0;-6.11288e-07;-3.0344e-07;0;0.313934;0.00192845;-1.06798e-08;-5.79343e-07;-2.90208e-07;3.27539e-09;1676680179793980484
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.231804;34.6009;0.354445;0.003352;0.066768;0.016762;0.097848;0.011524;0;0;0;0;0;0;-6.45095;-0.735192;-9.76997;3.61553;0;0;0;0;0;0;0;0;-0.91617;-0.104413;-1.38754;0.513481;0;0;1.5754;0.145728;-1.5754;-0.00766993;0.0214341;0.497364;1.57386;-0.145728;1.57386;0.00920391;-0.0261199;0.499121;1.5754;0.144194;-1.5754;-0.00766993;0.0214341;0.497364;1.52274;-0.151554;1.49644;0.0378563;-0.0261199;0.499121;0.09;0.224;0.352;0.096;0;0;0;0.256;0.32;0.128;0;0;0;-0.0921146;-0.00115419;0;-6.11288e-07;-3.0344e-07;0;0.305964;0.00195143;-9.89516e-09;-5.7717e-07;-2.87777e-07;3.20977e-09;1676680179796937991
